solutionName,sessionCount,serverCost,serverUtilization
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,47.96,2.17609,0.96763
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,47.96,1.84738,0.959965
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,47.96,1.99489,0.967799
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,44,2.19338,0.956606
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,44,2.06405,0.964828
G_Assignment_Random.R_Assignment_Random.Grouping_Random,44,2.16752,0.956606
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,45.98,1.82701,0.974565
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,45.98,1.79922,0.974565
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,45.98,1.96185,0.966457
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,45.02,2.38628,0.978352
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,44.01,2.34759,0.99095
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,45,2.3661,0.986756
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,45.99,1.73508,0.966505
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,45,1.66596,0.986672
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,44.01,1.71263,0.973585
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,46,2.08827,0.974414
R_Assignment_Random.G_Assignment_Random.Grouping_Random,45,2.12013,0.961621
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,43.03,2.08243,0.96853
