solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,7.137,1.49903,0.97393,0.933645,3.866,1.06512
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,7.137,1.65209,0.873241,0.493785,3.866,1.50455
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,7.137,1.66577,0.873956,0.581858,3.866,1.41814
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,5.201,1.47871,0.957503,0.85436,2.987,1.11983
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,5.204,1.51698,0.93239,0.792189,2.986,1.20129
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,5.128,1.47057,0.954377,0.841898,2.962,1.15687
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,5.202,1.55047,0.904827,0.666881,3.005,1.33275
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,5.189,1.51124,0.936697,0.806945,2.989,1.19162
G_Assignment_Random.R_Assignment_Random.Grouping_Random,5.183,1.55284,0.909916,0.678974,2.981,1.32086
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,7.26,1.48705,0.977534,0.942343,3.794,1.05671
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,7.26,1.63391,0.880004,0.510528,3.794,1.48838
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,7.26,1.65683,0.874785,0.585404,3.794,1.41445
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,6.885,1.50763,0.95882,0.893092,4.027,1.10664
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,5.586,1.44999,0.980139,0.903406,3.32,1.0733
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,5.572,1.4867,0.958023,0.860632,3.331,1.11346
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,6.803,1.52112,0.950632,0.872426,3.88,1.12731
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,6.746,1.50546,0.936813,0.812981,4.327,1.18585
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,5.552,1.42599,0.96817,0.84493,3.389,1.15326
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,5.546,1.48808,0.928081,0.776302,3.389,1.22339
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,6.572,1.50897,0.932726,0.793413,4.024,1.20536
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,6.637,1.64342,0.878991,0.560283,4.137,1.43957
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,5.253,1.5313,0.926497,0.757669,3.174,1.23853
R_Assignment_Random.G_Assignment_Random.Grouping_Random,5.249,1.56404,0.905293,0.634502,3.167,1.3655
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,6.561,1.65232,0.87453,0.537013,3.813,1.46253
