solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,49.01,1.92239,0.98779,0.345669,6.02,1.38968
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,49.01,1.92239,0.98779,0.182237,6.02,2.71634
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,49.01,1.81569,0.964611,0.345869,6.02,1.5115
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,49.01,1.81569,0.964611,0.183837,6.02,2.87738
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,49.01,1.99156,0.964687,0.265853,6.02,1.73435
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,49.01,1.99156,0.964687,0.0206041,6.02,4.17884
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,45,2.13908,0.986589,0.377333,11,1.75378
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,45,2.18485,0.953471,0.156222,11,2.77978
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,45,1.9977,0.978177,0.333111,11,1.71178
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,45,2.01599,0.961457,0.177778,11,2.82467
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,45,2.13529,0.969828,0.355556,11,1.84556
G_Assignment_Random.R_Assignment_Random.Grouping_Random,45,2.1526,0.95339,0.133111,11,3.42533
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,49,1.77727,0.987903,0.732857,2.01,1.16367
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,49,1.77727,0.987903,0.141429,2.01,2.35163
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,49,1.79007,0.9723,0.816122,2.01,1.16327
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,49,1.79007,0.9723,0.205102,2.01,1.95796
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,49,1.95257,0.979846,0.347347,2.01,1.30673
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,49,1.95257,0.979846,0,2.01,5.46306
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,49.99,2.33639,0.992102,0.640743,8.98,1.28026
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,49.99,2.33639,0.992102,0.458461,8.98,1.64421
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,44.01,2.38574,0.973499,0.659611,8.99,1.20583
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,44.01,2.38542,0.973499,0.475167,8.99,1.6625
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,47.99,2.34404,0.99161,0.853285,4.01,1.14608
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,47.99,2.34404,0.99161,0.518816,4.01,1.50713
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,49,1.75178,0.957183,0.55102,7.01,1.34571
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,49,1.75178,0.957183,0.509796,7.01,1.75184
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,46,1.67522,0.982906,0.608696,7,1.19587
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,46,1.67751,0.982741,0.521522,7,1.73957
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,48,1.73436,0.960236,0.793125,5.99,1.22792
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,48,1.73436,0.960236,0.772083,5.99,1.29021
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,49,2.06218,0.972222,0.24449,10,1.71714
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,49,2.06218,0.972222,0.0608163,10,3.88061
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,45,2.0525,0.978177,0.377333,10.01,1.978
R_Assignment_Random.G_Assignment_Random.Grouping_Random,45,2.0661,0.961457,0.0668889,10.01,3.86533
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,47,2.05241,0.970995,0.275957,5.99,1.53298
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,47,2.05241,0.970995,0.0423404,5.99,4.70723
