solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
R_Assignment_LCW.G_Assignment_Layered,1.975,2.0444,-nan(ind),-nan(ind),1.783,1.03208
R_Assignment_LCW.G_Assignment_Layered_CostIncrease,1.972,2.04694,-nan(ind),-nan(ind),1.78,1.04858
R_Assignment_LCW.G_Assignment_Layered_PriceAscending,1.975,2.04452,-nan(ind),-nan(ind),1.783,1.03342
R_Assignment_LCW.G_Assignment_Simple,1.971,2.05388,-nan(ind),-nan(ind),1.779,1.05142
R_Assignment_LCW.G_Assignment_Simple_CostIncrease,1.97,2.0471,-nan(ind),-nan(ind),1.778,1.04742
R_Assignment_LCW.G_Assignment_Simple_PriceAscending,1.97,2.0471,-nan(ind),-nan(ind),1.778,1.04742
R_Assignment_LSP.G_Assignment_Layered,1.718,2.01591,0.849938,0.8965,1.526,1.1035
R_Assignment_LSP.G_Assignment_Layered_CostIncrease,1.708,2.00836,0.850566,0.872667,1.516,1.12683
R_Assignment_LSP.G_Assignment_Layered_PriceAscending,1.718,2.00485,0.852452,0.903,1.526,1.097
R_Assignment_LSP.G_Assignment_Simple,1.704,2.02982,0.845551,0.861667,1.512,1.13833
R_Assignment_LSP.G_Assignment_Simple_CostIncrease,1.701,2.00952,0.85003,0.875167,1.509,1.12433
R_Assignment_LSP.G_Assignment_Simple_PriceAscending,1.701,2.00952,0.85003,0.875167,1.509,1.12433
