solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,50,1.96047,0.984252,0.261,6.99,1.3612
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,50,1.96047,0.984252,0.12,6.99,2.5238
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,50,1.77996,0.961613,0.0816,6.99,1.4404
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,50,1.77996,0.961613,0.06,6.99,2.7206
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,50,1.91819,0.968992,0.2002,6.99,1.681
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,50,1.91819,0.968992,0,6.99,4.4236
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,44.99,2.03748,0.969864,0.3325,11,1.48991
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,44.99,2.01701,0.969695,0.110909,11,2.53527
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,44.99,1.83721,0.970039,0.200045,11,1.60059
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,44.99,1.83345,0.969778,0.0449091,11,2.6015
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,44.99,1.97848,0.969864,0.289182,11,1.86755
G_Assignment_Random.R_Assignment_Random.Grouping_Random,44.99,1.97974,0.961745,0.000227273,11,3.84441
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,49,1.80882,0.987746,0.122041,2.99,1.18408
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,49,1.80882,0.987746,0,2.99,3.32429
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,49,1.74438,0.979922,0.856531,2.99,1.14286
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,49,1.74438,0.979922,0.428776,2.99,1.67347
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,49,1.88286,0.972222,0.245918,2.99,1.38633
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,49,1.88286,0.972222,0,2.99,4.7349
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,49,2.12252,0.987903,0.569388,8,1.26449
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,49,2.12252,0.987903,0.165102,8,2.17633
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,45.99,2.12236,0.98286,0.607053,8.01,1.23896
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,45.99,2.10812,0.991248,0.240961,8.01,1.90747
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,49,2.11882,0.987903,0.776939,5.98,1.16245
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,49,2.11882,0.987903,0.311224,5.98,1.72918
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,49,1.69816,0.972222,0.430612,7,1.2651
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,49,1.69816,0.972222,0.34898,7,1.42939
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,45.01,1.66163,0.986887,0.400565,8,1.17817
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,45.01,1.69991,0.969875,0.355696,8,1.75517
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,49,1.69705,0.972222,0.877551,5,1.20388
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,49,1.69705,0.972222,0.795918,5,1.2649
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,50,1.93168,0.984099,0.22,11,1.6412
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,50,1.93168,0.984099,0.0202,11,4.259
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,45,1.95495,0.978177,0.310889,10.99,1.95556
R_Assignment_Random.G_Assignment_Random.Grouping_Random,45,1.9683,0.961538,0,10.99,4.15689
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,47.99,1.95846,0.967775,0.250479,5.99,1.49947
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,47.99,1.95846,0.967775,0.0208378,5.99,4.50117
