solutionName,sessionCount,serverCost,serverUtilization
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,8,2.49225,0.833333
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,8,2.23416,0.833696
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,8,2.36367,0.833333
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,3.01,2.61197,0.833333
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,3.01,2.05067,0.936458
G_Assignment_Random.R_Assignment_Random.Grouping_Random,3.01,3.22741,0.625893
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,8.01,2.38235,0.86987
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,8.01,1.82786,0.951857
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,8.01,2.21286,0.869203
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,8,2.20398,0.908696
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,5,2.13512,0.893544
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,7.01,2.43371,0.834091
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,8.98,1.93287,0.865941
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,6.02,1.84902,0.883053
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,8,1.80603,0.909524
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,7.99,2.3663,0.832955
R_Assignment_Random.G_Assignment_Random.Grouping_Random,5,2.36583,0.832812
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,7,2.63752,0.761215
