G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,2.82,0.384187
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,2.75,0.433013
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,2.36,0.591946
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,2.38,0.596322
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,2.51,0.670746
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,2.36,0.656049
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,0.56,0.496387
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,0.51,0.519519
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,0.14,0.346987
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,0.09,0.286182
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,0.13,0.336303
G_Assignment_Random.R_Assignment_Random.Grouping_Random,0.12,0.324962
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,0.66,0.494368
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,0.55,0.517204
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,0.26,0.438634
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,0.3,0.458258
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,0.21,0.407308
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,0.27,0.443959
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,2.42,0.493559
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,2.58,0.493559
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,0.3,0.458258
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,0.34,0.473709
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,0.66,0.473709
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,0.64,0.48
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,3.45,0.497494
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,3.58,0.493559
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,0.12,0.324962
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,0.13,0.336303
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,0.5,0.5
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,0.64,0.48
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,3.74,0.438634
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,3.69,0.462493
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,0.06,0.237487
R_Assignment_Random.G_Assignment_Random.Grouping_Random,0.13,0.336303
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,0.54,0.498397
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,0.72,0.448999
