solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,8.751,1.60973,0.913005,0.407453,4.714,1.77408
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,8.751,1.71132,0.848907,0.467003,4.714,1.70898
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,8.751,1.76044,0.837663,0.175731,4.714,2.15338
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,5.492,1.63452,0.874784,0.472976,4.662,1.46827
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,5.496,1.70629,0.836055,0.391193,4.628,1.71894
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,5.499,1.61666,0.861425,0.493231,4.635,1.56867
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,5.477,1.68347,0.828434,0.391419,4.626,1.79675
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,5.469,1.68425,0.848663,0.251577,4.626,1.92632
G_Assignment_Random.R_Assignment_Random.Grouping_Random,5.481,1.73102,0.82262,0.159657,4.632,2.1464
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,8.578,1.56938,0.929432,0.538097,3.232,1.58183
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,8.578,1.64821,0.877584,0.56922,3.232,1.57978
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,8.578,1.73909,0.843354,0.227645,3.232,2.02875
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,7.93,1.591,0.928125,0.751889,4.292,1.25815
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,5.863,1.52807,0.942708,0.676451,3.943,1.14884
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,5.859,1.57539,0.915703,0.637329,3.927,1.24409
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,7.498,1.57677,0.934742,0.784101,3.348,1.20964
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,8.172,1.54091,0.909028,0.697315,3.447,1.32054
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,6.02,1.42531,0.945124,0.822495,2.667,1.14165
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,5.998,1.4765,0.912678,0.74552,2.643,1.25392
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,7.837,1.47708,0.938965,0.821085,2.979,1.18601
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,8.035,1.76989,0.833958,0.0989048,5.314,2.11634
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,5.471,1.68794,0.847311,0.175979,4.904,2.02095
R_Assignment_Random.G_Assignment_Random.Grouping_Random,5.456,1.72216,0.825564,0.099956,4.905,2.25335
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,7.318,1.78136,0.824585,0.122746,4.172,2.22076
