solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,8.891,1.80434,0.918813,0.525276,5.69,1.63024
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,8.891,1.90036,0.857665,0.525558,5.69,1.63192
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,8.891,1.95606,0.841981,0.318716,5.69,1.95264
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,5.183,1.93081,0.902519,0.656529,4.163,1.29298
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,5.206,1.99902,0.864743,0.614739,4.181,1.45047
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,5.137,1.90985,0.898597,0.696205,4.111,1.30857
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,5.194,2.00376,0.850628,0.614364,4.178,1.47148
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,5.159,1.9769,0.877581,0.501638,4.138,1.60794
G_Assignment_Random.R_Assignment_Random.Grouping_Random,5.217,2.03726,0.845402,0.46594,4.19,1.72037
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,8.814,1.78985,0.926612,0.534054,4.3,1.60504
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,8.814,1.86004,0.877777,0.541821,4.3,1.63529
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,8.814,1.95392,0.843344,0.330758,4.3,1.96476
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,7.806,1.80652,0.93752,0.788887,5.076,1.2245
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,5.71,1.81922,0.955256,0.76881,4.238,1.11502
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,5.68,1.85416,0.935858,0.753446,4.213,1.16815
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,7.434,1.8029,0.940214,0.815099,4.308,1.18148
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,8.282,1.77427,0.903212,0.729234,4.749,1.30533
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,6.071,1.71416,0.946095,0.84213,3.583,1.13637
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,6.049,1.75692,0.920318,0.793571,3.57,1.20373
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,7.767,1.72009,0.928054,0.789696,4.112,1.21434
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,7.801,2.02144,0.827486,0.315831,5.795,1.85912
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,5.157,1.98991,0.86976,0.465775,4.145,1.63608
R_Assignment_Random.G_Assignment_Random.Grouping_Random,5.156,2.04712,0.840123,0.444874,4.149,1.74411
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,7.222,2.02178,0.825959,0.319444,5.05,1.85196
