solutionName,sessionCount,serverCost,serverUtilization
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,97,2.14595,0.989716
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,97,1.90218,0.985732
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,97,2.02949,0.985732
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,94.99,2.1152,0.985455
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,94.99,2.00462,0.977467
G_Assignment_Random.R_Assignment_Random.Grouping_Random,94.99,2.0872,0.985455
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,92.01,2.03691,0.982929
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,92.01,1.76809,0.987022
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,92.01,1.92973,0.982887
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,96,2.01641,0.991695
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,93.02,2.01008,0.99355
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,92.02,2.01131,0.991298
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,94.01,1.68795,0.987335
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,92.99,1.68912,0.985147
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,91,1.68466,0.984806
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,95.01,2.04826,0.989564
R_Assignment_Random.G_Assignment_Random.Grouping_Random,93,2.05642,0.985169
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,92,2.0632,0.978807
