solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,47.193,1.72619,0.990506,0.899567,8.503,1.09974
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,47.193,1.73477,0.975147,0.624034,8.503,1.37428
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,47.193,1.7443,0.97514,0.660188,8.503,1.33981
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,45.135,1.73271,0.98601,0.864169,10.808,1.07142
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,45.164,1.7493,0.974149,0.763507,10.795,1.22943
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,45.161,1.70934,0.991141,0.866052,10.815,1.0904
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,45.185,1.73528,0.973886,0.704721,10.818,1.29431
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,45.2,1.73048,0.985722,0.846374,10.812,1.11763
G_Assignment_Random.R_Assignment_Random.Grouping_Random,45.168,1.74789,0.973472,0.66196,10.82,1.33802
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,47.359,1.7218,0.992062,0.908637,8.272,1.09088
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,47.359,1.73234,0.975717,0.635461,8.272,1.36348
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,47.359,1.74171,0.975424,0.671004,8.272,1.329
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,46.696,1.72587,0.986006,0.877196,9.335,1.11332
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,45.316,1.72113,0.992943,0.882037,10.437,1.04665
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,45.327,1.73849,0.981397,0.821778,10.447,1.13519
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,46.201,1.7268,0.986322,0.905823,8.585,1.09413
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,46.372,1.70756,0.977925,0.80224,10.183,1.1882
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,45.146,1.69187,0.991536,0.875041,10.114,1.08216
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,45.103,1.71074,0.979693,0.769037,10.11,1.22754
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,45.954,1.70446,0.980877,0.855974,9.407,1.14383
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,46.436,1.74032,0.974827,0.684223,10.635,1.31546
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,45.12,1.73117,0.985446,0.829621,10.845,1.11958
R_Assignment_Random.G_Assignment_Random.Grouping_Random,45.159,1.74676,0.974164,0.636185,10.853,1.36379
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,46.153,1.74184,0.975218,0.63418,10.148,1.36543
