solutionName,sessionCount,serverCost,serverUtilization
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,96.01,2.13447,0.987596
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,96.01,1.80017,0.987596
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,96.01,1.987,0.975671
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,95.99,2.17554,0.983585
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,95.99,1.97561,0.97961
G_Assignment_Random.R_Assignment_Random.Grouping_Random,95.99,2.07859,0.983666
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,91.02,1.90621,0.989049
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,91.02,1.75331,0.989049
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,91.02,1.95005,0.980649
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,95.99,2.00707,0.995829
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,93.99,2.02039,0.991539
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,93.01,2.02182,0.989301
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,94.99,1.69012,0.985455
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,93.02,1.68177,0.989282
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,91.99,1.68052,0.987059
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,94.99,2.04519,0.989479
R_Assignment_Random.G_Assignment_Random.Grouping_Random,94,2.06921,0.979208
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,91.01,2.05261,0.984829
