solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,48.843,1.70534,0.979297,0.527219,8.617,1.56711
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,48.843,1.69639,0.966598,0.543813,8.617,1.46726
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,48.843,1.72428,0.96569,0.356674,8.617,1.80704
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,44.991,1.74169,0.97085,0.646944,10.59,1.21685
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,45.038,1.75848,0.961282,0.490028,10.587,1.62981
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,45.012,1.71032,0.969603,0.636888,10.598,1.25109
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,45.031,1.72646,0.960781,0.490835,10.585,1.68423
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,44.98,1.74306,0.96854,0.613653,10.582,1.31014
G_Assignment_Random.R_Assignment_Random.Grouping_Random,44.97,1.75453,0.961785,0.32742,10.6,1.92587
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,48.532,1.70157,0.982513,0.52033,5.644,1.67186
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,48.532,1.69661,0.9722,0.548923,5.644,1.67541
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,48.532,1.72663,0.966345,0.363041,5.644,1.89329
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,47.898,1.72531,0.979538,0.710819,8.648,1.28672
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,45.243,1.73574,0.977081,0.719628,9.524,1.10972
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,45.256,1.74802,0.970216,0.630025,9.523,1.32542
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,46.763,1.72599,0.980354,0.824625,7.037,1.18836
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,48.109,1.66996,0.967379,0.664618,8.996,1.32716
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,45.164,1.66188,0.975643,0.758656,9.006,1.13459
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,45.122,1.67752,0.967433,0.665103,8.999,1.3664
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,46.853,1.65745,0.974582,0.852391,7.086,1.15121
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,47.972,1.74259,0.963642,0.306101,10.337,1.85897
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,44.995,1.74342,0.968118,0.59811,10.557,1.31538
R_Assignment_Random.G_Assignment_Random.Grouping_Random,44.963,1.75516,0.961308,0.306817,10.558,1.96266
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,46.441,1.74864,0.962258,0.358035,8.269,1.90847
