solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,9.01,2.29365,0.899929,0.11,5,2.336
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,9.01,2.29365,0.899929,0.11,5,3.003
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,9.01,2.13757,0.865351,0.222,5,2.445
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,9.01,2.13757,0.865351,0.222,5,2.889
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,9.01,2.25249,0.865064,0.11,5,3.226
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,9.01,2.25249,0.865064,0.11,5,4.336
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,4,2.42466,0.907692,0.25,4,2.2525
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,4,2.48634,0.833333,0.25,4,2.255
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,4,2.14964,0.908333,0.5,4,2.2475
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,4,2.47139,0.769872,0.2525,4,2.495
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,4,2.56824,0.769231,0.25,4,3.7425
G_Assignment_Random.R_Assignment_Random.Grouping_Random,4,2.77938,0.714286,0.0025,4,4.24
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,9.01,2.23906,0.93774,0.113,2,1.886
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,9.01,2.23906,0.93774,0,2,3.883
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,9.01,1.76993,0.977407,0.666,2,1.556
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,9.01,1.76993,0.977407,0.224,2,1.89
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,9.01,2.23207,0.865351,0.333,2,2.668
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,9.01,2.23207,0.865351,0,2,4.778
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,9,2.13879,0.937125,0.556667,5,1.88556
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,9,2.13879,0.937125,0.556667,5,1.99556
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,6.98,1.93193,0.972115,0.575714,3.98,1.42429
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,6.98,2.07336,0.921457,0.292857,3.98,1.56571
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,8.01,2.22039,0.909,0.501667,3,1.49944
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,8.01,2.22039,0.909,0.129306,3,1.99667
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,9,1.93247,0.866106,0.553333,5,1.55556
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,9,1.93247,0.866106,0.553333,5,1.55778
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,6.02,1.62669,0.999091,0.66625,3.01,1.33125
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,6.02,1.84902,0.883053,0.665,3.01,1.5025
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,9,1.75052,0.9375,0.777778,2,1.22222
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,9,1.75052,0.9375,0.777778,2,1.22333
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,9,2.46607,0.833654,0.11,5.99,3.66444
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,9,2.46607,0.833654,0.11,5.99,4.11222
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,5,2.36443,0.833333,0.2,5,3.594
R_Assignment_Random.G_Assignment_Random.Grouping_Random,5,2.36583,0.832812,0.002,5,3.792
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,8,2.52548,0.800333,0.12375,3,3.25625
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,8,2.52548,0.800333,0,3,4.63
