solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,48.629,1.51028,0.979474,0.44126,8.319,1.67897
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,48.629,1.50314,0.965047,0.506673,8.319,1.54262
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,48.629,1.534,0.963795,0.232048,8.319,1.97949
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,45.038,1.54286,0.970102,0.576588,10.38,1.23139
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,45.038,1.55677,0.962177,0.365722,10.375,1.78664
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,45.033,1.50073,0.970503,0.575314,10.365,1.26381
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,45.066,1.51683,0.961905,0.365166,10.377,1.86082
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,45.035,1.54207,0.968769,0.554545,10.372,1.3333
G_Assignment_Random.R_Assignment_Random.Grouping_Random,45.057,1.55379,0.96145,0.157453,10.352,2.17641
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,48.164,1.50281,0.982452,0.465094,5.34,1.72031
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,48.164,1.49834,0.971252,0.547961,5.34,1.65783
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,48.164,1.53139,0.964408,0.258033,5.34,1.99277
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,47.909,1.53803,0.978433,0.667072,8.598,1.32854
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,45.113,1.53668,0.976648,0.665317,9.435,1.11785
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,45.183,1.54955,0.969426,0.558693,9.435,1.36508
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,46.732,1.53453,0.97901,0.810553,6.873,1.20531
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,48.146,1.4812,0.965253,0.62893,9.274,1.34514
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,45.033,1.45736,0.976048,0.728969,9.21,1.1396
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,45.024,1.47936,0.96367,0.623036,9.18,1.40524
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,46.755,1.46153,0.974266,0.862264,6.598,1.14296
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,48.148,1.55374,0.963657,0.119933,10.317,2.08409
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,45.032,1.54179,0.96843,0.528574,10.284,1.33148
R_Assignment_Random.G_Assignment_Random.Grouping_Random,45.101,1.55327,0.961704,0.12016,10.283,2.23942
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,46.459,1.55171,0.963054,0.216837,8.44,2.13864
