solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,6.741,1.75444,0.974852,0.937774,4.316,1.06133
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,6.741,1.87201,0.89749,0.616021,4.316,1.38294
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,6.741,1.90233,0.887654,0.65627,4.316,1.34373
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,4.94,1.79739,0.97764,0.92201,3.591,1.06474
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,4.927,1.8377,0.951552,0.869824,3.577,1.1247
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,4.938,1.8002,0.971527,0.901681,3.575,1.09815
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,4.938,1.88815,0.914863,0.757901,3.588,1.2421
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,4.927,1.82012,0.963255,0.886867,3.589,1.11297
G_Assignment_Random.R_Assignment_Random.Grouping_Random,4.955,1.8823,0.92298,0.768819,3.585,1.23118
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,6.74,1.74613,0.978557,0.946899,4.295,1.05293
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,6.74,1.86118,0.902341,0.623736,4.295,1.37595
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,6.74,1.89416,0.891093,0.665171,4.295,1.33483
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,6.531,1.76132,0.974143,0.940251,4.329,1.05942
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,5.385,1.76855,0.989642,0.952086,3.803,1.03221
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,5.444,1.78924,0.976623,0.928239,3.834,1.05833
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,6.521,1.77858,0.96463,0.914596,4.279,1.08507
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,6.408,1.79663,0.932656,0.834314,4.936,1.16525
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,5.535,1.76228,0.961798,0.844221,4.093,1.15497
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,5.531,1.80792,0.93273,0.80128,4.092,1.19839
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,6.303,1.80546,0.929896,0.794968,4.708,1.20439
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,6.192,1.90852,0.894375,0.651648,4.447,1.34835
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,5.076,1.83074,0.954242,0.842855,3.798,1.15678
R_Assignment_Random.G_Assignment_Random.Grouping_Random,5.078,1.88774,0.917767,0.72861,3.79,1.27139
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,6.162,1.91641,0.891466,0.614486,4.082,1.38551
