solutionName,sessionCount,serverCost,serverUtilization,R_G_colocation_ratio,G_count_allSessions,R_count_perSession
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,47.406,1.53054,0.987894,0.867698,8.647,1.13117
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,47.406,1.53223,0.975238,0.525216,8.647,1.4723
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,47.406,1.54329,0.975496,0.584099,8.647,1.4159
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,45.115,1.5231,0.984511,0.83468,10.68,1.07857
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,45.097,1.53847,0.973784,0.71975,10.676,1.27105
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,45.065,1.49403,0.991977,0.851834,10.684,1.09878
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,45.128,1.5202,0.974102,0.649196,10.681,1.34981
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,45.094,1.51637,0.987345,0.820515,10.682,1.12428
G_Assignment_Random.R_Assignment_Random.Grouping_Random,45.119,1.53488,0.973999,0.586278,10.674,1.4137
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,47.459,1.5246,0.990189,0.902162,8.024,1.09706
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,47.459,1.52891,0.975606,0.538925,8.024,1.45914
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,47.459,1.5404,0.97527,0.598376,8.024,1.40162
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,46.691,1.52346,0.983663,0.859657,9.242,1.12972
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,45.328,1.51091,0.991558,0.854366,10.514,1.05412
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,45.287,1.52965,0.978966,0.786628,10.525,1.15612
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,46.115,1.52141,0.984487,0.903815,8.426,1.09612
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,46.47,1.49713,0.976506,0.767216,10.17,1.22022
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,45.119,1.47541,0.990259,0.858139,10.533,1.09177
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,45.135,1.49888,0.97504,0.737972,10.535,1.25772
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,45.75,1.49312,0.978922,0.853638,9.2,1.14588
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,46.436,1.53326,0.975025,0.621677,10.559,1.37796
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,45.128,1.51504,0.987846,0.798016,10.675,1.12694
R_Assignment_Random.G_Assignment_Random.Grouping_Random,45.087,1.53395,0.974346,0.552878,10.679,1.4471
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,46.087,1.5343,0.974836,0.568922,10.3,1.43077
