50,0.773,0.012
100,0.7742,0.276
150,0.776333,0.332
200,0.77615,0.382
250,0.77752,0.4424
300,0.7774,0.48
350,0.775943,0.505714
400,0.77585,0.52
450,0.776044,0.525778
500,0.77608,0.5416
