Column1,Column2,Column3
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,1.625,0
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,1.67143,3.55E-15
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,1.7345,0.0116414
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,1.77179,0.000739134
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,1.80603,0.00937454
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,1.80854,0.0024539
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,1.82786,0.0119932
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,1.93287,0.0132136
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,2.01005,0.0261547
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,2.01748,0.0913293
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,2.02242,0.0315355
G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,2.03268,0.0415559
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,2.07603,0.0665141
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,2.08561,0.0179764
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,2.0977,0.0757219
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,2.20398,0.0623374
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,2.21286,0.00795986
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,2.22781,0.0513951
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,2.23416,0.0259747
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,2.23778,0.00567786
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,2.2613,0.0419819
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,2.27985,0.0139229
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,2.2993,0.0535578
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,2.36367,0.0105564
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,2.38235,0.0188504
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,2.38399,0.00480392
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,2.39233,0.0249661
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,2.42557,0.00429007
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,2.42567,0.0111997
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,2.43371,0.0266431
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,2.49225,0.00936651
R_Assignment_Random.G_Assignment_Random.Grouping_Random,2.50497,0.00795536
G_Assignment_Random.R_Assignment_Random.Grouping_Random,2.54759,0.0233268
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,2.57266,0.0103403
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,2.61879,0.0204865
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,2.69242,0.013792
