Column1,Column2,Column3
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,2.133,0.0225727
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,2.14264,0.00243562
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,2.16953,0.00486041
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,2.17882,0.00181602
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,2.17901,5.33E-15
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,2.18159,0.0256825
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,2.20967,0.0079599
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,2.22015,0.00116082
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,2.2214,0.0122609
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,2.23856,5.33E-15
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,2.30797,0.0152717
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,2.33837,0.00497494
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,2.36071,0.0267943
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,2.38841,0.0120251
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,2.40201,0.0242172
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,2.4076,0.00978289
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,2.41244,0.0161685
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,2.42526,0.0111308
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,2.43681,0.00466798
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,2.44087,0.0237894
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,2.51819,0.00517393
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,2.51819,0.00517393
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,2.54989,0.0252925
R_Assignment_Random.G_Assignment_Random.Grouping_Random,2.57501,0.0157208
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,2.61195,0.0229506
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,2.62581,0.0243436
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,2.62704,0.0114529
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,2.6282,0.0192033
G_Assignment_Random.R_Assignment_Random.Grouping_Random,2.64088,0.022793
G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,2.66864,0.0168735
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,2.76176,0.0327314
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,2.76463,0.0347779
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,2.76651,2.22E-15
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,2.77575,0.0328309
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,2.79536,0.0219871
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,3.28702,7.55E-15
