G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,3.21,0.407308
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,3.23,0.420833
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,2.93,0.255147
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,2.83,0.375633
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,2.96,0.195959
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,2.94,0.237487
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,0.41,0.491833
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,0.53,0.499099
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,0.13,0.336303
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,0.06,0.237487
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,0.14,0.346987
G_Assignment_Random.R_Assignment_Random.Grouping_Random,0.14,0.346987
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,0.65,0.47697
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,0.65,0.47697
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,0.39,0.48775
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,0.31,0.462493
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,0.37,0.482804
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,0.46,0.498397
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,2.96,0.241661
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,2.82,0.384187
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,0.42,0.493559
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,0.43,0.495076
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,0.78,0.414246
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,0.87,0.336303
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,3.32,0.466476
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,3.49,0.4999
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,0.19,0.392301
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,0.18,0.384187
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,0.62,0.485386
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,0.64,0.48
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,4.54,0.498397
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,4.33,0.470213
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,0.25,0.433013
R_Assignment_Random.G_Assignment_Random.Grouping_Random,0.14,0.346987
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,0.7,0.458258
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,0.65,0.47697
