Column1,Column2,Column3
R_Assignment_LSP.G_Assignment_Random.Grouping_Greedy,1.65376,0.00354918
R_Assignment_LSP.G_Assignment_Simple.Grouping_Greedy,1.65693,0.00273457
R_Assignment_LSP.G_Assignment_Layered.Grouping_Greedy,1.65729,4.48E-05
R_Assignment_LSP.G_Assignment_Random.Grouping_Random,1.69208,0.00137885
R_Assignment_LSP.G_Assignment_Simple.Grouping_Random,1.71263,0.00378061
R_Assignment_LSP.G_Assignment_Layered.Grouping_Random,1.73508,0.0035016
G_Assignment_Simple.R_Assignment_LSP.Grouping_Greedy,1.77987,0.00196206
G_Assignment_Simple.R_Assignment_LSP.Grouping_Random,1.79922,0.00122538
G_Assignment_Simple.R_Assignment_LCW.Grouping_Greedy,1.80903,0.00313814
G_Assignment_Layered.R_Assignment_LSP.Grouping_Greedy,1.81813,0.01388
G_Assignment_Simple.R_Assignment_LCW.Grouping_Random,1.82701,0.0025517
G_Assignment_Layered.R_Assignment_LSP.Grouping_Random,1.84738,0.0148652
G_Assignment_Simple.R_Assignment_Random.Grouping_Greedy,1.93956,0.00194283
G_Assignment_Simple.R_Assignment_Random.Grouping_Random,1.96185,0.00171922
G_Assignment_Layered.R_Assignment_Random.Grouping_Greedy,1.99319,0.00525762
G_Assignment_Layered.R_Assignment_Random.Grouping_Random,1.99489,0.00537474
G_Assignment_Random.R_Assignment_LSP.Grouping_Random,2.07288,0.00374221
G_Assignment_Random.R_Assignment_LSP.Grouping_Greedy,2.07749,0.0019012
R_Assignment_Random.G_Assignment_Layered.Grouping_Greedy,2.08602,0.00308361
R_Assignment_Random.G_Assignment_Layered.Grouping_Random,2.08634,0.00160574
R_Assignment_Random.G_Assignment_Random.Grouping_Random,2.09894,0.000304791
R_Assignment_Random.G_Assignment_Random.Grouping_Greedy,2.10867,0.00158299
R_Assignment_Random.G_Assignment_Simple.Grouping_Random,2.10975,0.00161341
R_Assignment_Random.G_Assignment_Simple.Grouping_Greedy,2.11265,0.00364405
G_Assignment_Random.R_Assignment_Random.Grouping_Random,2.11915,0.000300884
G_Assignment_Random.R_Assignment_Random.Grouping_Greedy,2.1355,0.00480773
G_Assignment_Layered.R_Assignment_LCW.Grouping_Greedy,2.17055,0.00989527
G_Assignment_Layered.R_Assignment_LCW.Grouping_Random,2.17609,0.00686538
G_Assignment_Random.R_Assignment_LCW.Grouping_Random,2.19787,0.0111874
G_Assignment_Random.R_Assignment_LCW.Grouping_Greedy,2.20288,0.00866927
R_Assignment_LCW.G_Assignment_Simple.Grouping_Random,2.3661,0.0208084
R_Assignment_LCW.G_Assignment_Layered.Grouping_Greedy,2.36905,0.0217628
R_Assignment_LCW.G_Assignment_Simple.Grouping_Greedy,2.37552,0.0208138
R_Assignment_LCW.G_Assignment_Random.Grouping_Greedy,2.3824,0.0227226
R_Assignment_LCW.G_Assignment_Layered.Grouping_Random,2.38628,0.0249315
R_Assignment_LCW.G_Assignment_Random.Grouping_Random,2.38925,0.0225803
