0.033,0.025,0.025,0.033,0.029,0.034,0.044,0.058,0.114,
0.023,0.016,0.028,0.033,0.027,0.018,0.037,0.04,0.086,
0.022,0.027,0.027,0.019,0.032,0.028,0.033,0.045,0.06,
0.017,0.024,0.02,0.024,0.028,0.029,0.037,0.034,0.057,
