0.032,0.02,0.027,0.035,0.019,0.019,0.045,0.143,
0.03,0.036,0.033,0.028,0.024,0.032,0.033,0.089,
0.025,0.023,0.021,0.026,0.036,0.032,0.027,0.065,
0.025,0.025,0.038,0.036,0.034,0.024,0.036,0.063,
0.023,0.029,0.029,0.023,0.032,0.024,0.032,0.05,
