50,0.995,0.8,0.01
100,0.9957,0.804,0.02
150,0.996133,0.906667,0.04
200,0.9962,0.898,0.02
250,0.9962,0.9472,0.03
300,0.996067,0.933333,0.01
350,0.996029,0.951429,0.07
400,0.996125,0.95,0.08
450,0.9962,0.959111,0.06
500,0.9964,0.9592,0.07
550,0.996309,0.965091,0.08
600,0.996483,0.966,0.08
650,0.996569,0.966769,0.1
700,0.996586,0.970857,0.16
750,0.996653,0.9704,0.1
800,0.996663,0.974,0.15
850,0.996706,0.976,0.18
900,0.996733,0.976222,0.14
950,0.996768,0.979579,0.16
1000,0.99679,0.9784,0.18
